,open,high,low,close,volume,trade_count,vwap,sma5,sma10,sma20,sma50,sma100,sma200,ema13,ema485,std,lower20,upper20,rsi,macd_delta,stochastic_delta,plus_di,minus_di,adx_smooth,kijun_sen,tenkan_sen,senkou_span_a,senkou_span_b,obv
2020-09-24,324.75,352.4,324.75,344.55,70.895,26.0,346.3931859793,340.182,360.412,361.10749999999996,0.0,0.0,0.0,357.28933744952104,372.54641423750843,18.595818044657502,323.91586391068495,398.29913608931497,44.46452139836728,-0.6242157875279846,13.707706961527293,19.063117000155227,35.533319801778504,22.06379191550305,399.62,353.575,376.59749999999997,0.0,-2058.125
2020-09-25,342.24,355.12,337.99,350.63,33.443,13.0,352.637035553,343.466,358.448,361.7125,0.0,0.0,0.0,357.4771115654451,371.834376104135,18.305295647708327,325.1019087045833,398.32309129541665,46.802520986469055,-0.04033038207262285,9.119145235432988,19.790660639946488,34.44498950628579,22.740892614868795,399.62,350.42999999999995,375.025,0.0,-2024.682
2020-09-26,353.03,358.6,349.08,358.6,25.564,11.0,359.1144597872,347.20799999999997,355.813,362.3495,0.0,0.0,0.0,357.64507848895346,371.16833817565464,17.96276912811634,326.4239617437673,398.2750382562327,46.817647464544095,0.3645820845548333,3.3420300658466644,20.687690522679382,35.071305514360404,23.095960204491647,395.23,350.42999999999995,372.83,0.0,-1999.118
2020-09-27,354.12,359.9,352.4,358.65,13.051,17.0,362.5095065512,353.294,352.78900000000004,363.271,0.0,0.0,0.0,357.1289837039681,370.31172535023796,17.01511854204987,329.2407629159003,397.30123708409974,45.532123204101644,0.4999432701308999,-3.797573197498636,22.589540763116407,33.18459738978674,23.281087939347,373.43,347.03499999999997,360.23249999999996,0.0,-2012.1689999999999
2020-09-28,357.98,367.06,352.4,354.04,22.377,15.0,355.0955892211,355.184,350.052,362.2725,0.0,0.0,0.0,356.68118015423784,369.50371537981323,16.94377168017822,328.3849566396435,396.16004336035644,45.52044379349986,0.5960197281632427,-1.9422702613160965,22.157004571260682,32.54919096281413,22.927184163547047,355.0,343.63,349.315,0.0,-2034.5459999999998
2020-09-29,355.62,360.03,352.56,354.0,11.667,13.0,353.3897360075,357.666,348.92400000000004,362.5515,0.0,0.0,0.0,357.59098639670043,369.18642910525716,16.90813421847631,328.73523156304736,396.3677684369526,48.721764748613786,0.923164508304263,7.47090735909223,22.855004721058865,31.97799857669504,22.592336154610198,352.35,340.195,346.27250000000004,0.0,-2022.879
2020-09-30,354.79,363.04,351.58,363.04,20.592,11.0,348.5218327506,356.73400000000004,350.1,361.7135,0.0,0.0,0.0,357.0687263937616,368.4444658630784,16.898838798864546,327.9158224022709,395.5111775977291,45.80395935894247,0.8383436869867373,-0.9421080696546795,21.212075428791323,31.93725800877189,22.13133364138989,353.575,340.195,346.885,0.0,-2043.471
2020-10-01,354.26,354.26,346.71,353.94,48.617,18.0,342.5386552029,354.12800000000004,350.668,359.54900000000004,0.0,0.0,0.0,355.4313384155209,367.3428199116937,16.026641850369344,327.49571629926135,391.6022837007387,43.253484599085255,0.5325422570034033,-9.818214179391127,18.928891574591074,32.95986082614043,22.014234148464514,353.575,345.905,349.74,0.0,-2092.088
2020-10-02,350.3,350.3,336.7,345.62,22.911,9.0,347.1862899917,352.718,353.006,358.6485,0.0,0.0,0.0,354.22426038179475,366.36813341226144,16.200095763606164,326.2483084727877,391.0486915272123,43.80832985126777,0.39336556205308026,0.5395034049592269,17.992322509666895,30.859685430580363,22.409399409808714,353.575,351.88,352.72749999999996,0.0,-2069.177
2020-10-03,346.58,350.9,346.58,346.99,6.635,7.0,347.6222486812,352.48400000000004,353.834,357.5685,0.0,0.0,0.0,354.0249143474371,365.72461591391425,15.827718178878806,325.9130636422424,389.22393635775757,46.22219344045688,0.4908038760709612,12.30409058740971,18.896457475264057,29.724672840240128,22.696123806483396,353.575,351.88,352.72749999999996,0.0,-2062.542
2020-10-04,347.0,354.26,347.0,352.83,8.217,9.0,351.1036351466,350.658,354.162,357.287,0.0,0.0,0.0,354.00848628778255,365.166999184305,15.840211835705059,325.6065763285899,388.9674236714101,46.678377109784385,0.5835970605010448,11.97893052968223,21.16809002177466,33.29801638077725,22.662844370727488,353.575,351.88,352.72749999999996,0.0,-2054.325
2020-10-05,350.3,353.94,350.3,353.91,128.19,26.0,343.6152567283,347.538,352.13599999999997,355.29200000000003,0.0,0.0,0.0,351.7687610145965,363.90938325527776,15.586221992516693,324.11955601496663,386.4644439850334,41.246241865347905,0.1832850114027078,-15.870730009907767,18.701320246591756,37.06696703659459,22.691530694043326,353.575,351.53,352.5525,0.0,-2182.515
2020-10-06,350.3,352.11,336.0,338.34,93.639,16.0,339.4875446128,346.88599999999997,350.507,353.16,0.0,0.0,0.0,350.42394716775806,362.9056740291026,14.234411122347543,324.6911777553049,381.62882224469513,43.08778722757328,0.08118099249506239,-12.943532465470511,19.748968497964263,39.14345910707545,23.482080580243494,353.575,349.52,351.5475,0.0,-2088.8759999999997
2020-10-07,340.96,342.36,337.35,342.36,87.387,23.0,341.1453898177,347.566,350.142,351.46549999999996,373.7092,0.0,0.0,350.41909539183814,362.32630590056993,12.316982371912847,326.8315352561743,376.09946474382565,46.68270571598542,0.27967793767545457,2.6776082590035912,25.603285792706775,40.72875103894689,24.151881934756112,353.575,348.99,351.2825,0.0,-2001.4889999999998
2020-10-08,339.35,351.29,334.94,350.39,49.359,20.0,358.6544012237,352.246,352.36499999999995,351.2085,372.63379999999995,0.0,0.0,354.10778845309807,362.9661603713621,11.729964737799166,327.74857052440166,374.6684294755984,56.25785040031293,1.1595379095475065,36.75925405389602,37.453141151915,35.309229444453,23.940585102654023,353.575,355.58500000000004,354.58000000000004,0.0,-1952.1299999999999
2020-10-09,348.28,376.23,348.28,376.23,12.52,9.0,372.9291821086,355.63599999999997,353.147,351.0355,371.81119999999993,0.0,0.0,356.5017519995524,363.3274096142639,11.408950203678334,328.21759959264335,373.8534004073567,54.08408250904533,1.4810191737305078,8.6293291856515,35.33957636027608,33.316650400922484,22.345560315101565,353.575,355.58500000000004,354.58000000000004,399.62,-1964.6499999999999
